id;user;rawTweet;tweetDate;movieTitle;class
1080299451774680000;Elbert_Reyner;"1. Master Z: The Ip Man Legacy ★★½
Sebuah spin-off tidak penting dalam franchise Ip Man milik Donnie Yen yang menyia-nyiakan jajaran cast high profile-nya dengan plot membosankan dan directing yang lemah. Adegan aksinya masih enjoyable, asal kalian tidak berekspetasi lebih.";02/01/2019;#MasterZTheIpManLegacy;n
1080432596981400000;Dee_Ivana;1.Unstoppable.3/5. Berkisah ttg pria naif yg berusaha menyelamatkan istrinya yang diculik. *Jalan ceritanya biasa saja namun ditutupi oleh karakter yang lovable dan rangkaian aksi yang lumayan*;02/01/2019;#unstoppable;p
1080432657295540000;Dee_Ivana;http://2.App War. 2/5. Tentang 2 startup yang secara kebetulan memiliki konsep sama dan harus bersaing utk mendapatkan dana. *Ceritanya membosankan dan tidak inspiratif serta hampir semua karakternya menyebalkan*;02/01/2019;#AppWar;n
1080826398443320000;Dee_Ivana;4.Dreadout.2.5/5.Dreadout dimulai dengan cukup menjanjikan sebagai horor ttg sekelompok remaja yang tanpa sengaja masuk ke alam gaib.Sayang, cerita dan karakternya tak kunjung berkembang dan terasa repetitif sehingga lama kelamaan jadi membosankan.;03/01/2019;#Dreadout;n
1080830046221160000;puntadr;"8. DREADOUT

Sudah memainkan gamenya, lalu bagaimana filmnya? Memilih tetap memasang ekspektasi rendah. Ternyata, kurang rendah ekspektasinya. Visual cukup baik, dialog terasa aneh, dan ceritanya penuh dengan lubang, sampai memunculkan benak ""Apa itu tadi?"". 4/10

#DreadOut";03/01/2019;#Dreadout;n
1080835798033780000;adiryansjaxon;"4. Keluarga Cemara (Yandy Laurens, 2019)

Dengan adaptasi kekinian, #KeluargaCemara tampil sejuk dalam tuturan membumi soal #KembalikeKeluarga yang sanggup hadirkan keceriaan, tawa, dan haru tanpa berlebihan. Pengingat sederhana bahwa sebenarnya tak sulit untuk berbahagia. (4/5)";03/01/2019;#keluargacemara;p
1080844862470070000;dmsramadhan;"Buat yg gak pernah main/nonton gamenya, sepertinya butuh sesuatu yg lebih untuk bisa menikmati #DreadOut . Ada beberapa bagian yg ga paham maksudnya apa, sampe muncul pertanyaan 'lah kok gini?'
Keseramannya pun hanya dapet di awal doang. Tapi masih layak tonton sih 

⭐ - (2,5/5)";03/01/2019;#Dreadout ;n
1080849318314000000;baldafauziyyah;"1. Dreadout (Kimo Stamboel, 2019)

Pembuka awal tahun yg cukup mengecewakan. Premis sangat biasa, horor gak seram, bahkan menjelang akhir filmnya mulai kehilangan kesan 'adaptasi game'nya.
Yang penting: JEFRI NICHOL BUKA BAJU!!!
Longer review here: https://boxd.it/BbbqJ
4/10";03/01/2019;#Dreadout;n
1081201091042110000;Elbert_Reyner;"4. Dreadout ★★
Set design keren tak serta-merta membuat kutukan film adaptasi video game tak berlaku di sini. #Dreadout adalah film horror tanpa tensi, penuh ketololan yg bikin sakit kepala dan dialog2 gak jelas yg sepertinya baru dikarang setelah si sutradara berteriak action!";04/01/2019;#Dreadout;n
1081890422849380000;selliyamanto;2. #DreadOut kurang asyik untuk dinikmati, secara cerita masih bisa berkembang lebih dalam lagi, scoringnya cukup memekakan telinga, eksekusi lemah, pertengahan ke belakang justru terasa monoton  2/5;06/01/2019;#Dreadout ;n
1082189373913740000;shandygasella;"#1 #DreadOutmovie 
nonton via #OneBelParkXXI
skor ★☆☆☆☆
Skrip cetek, logika nihil, banyak adegan repetitif. Yang bikin seolah gak paham apa yang dia mau — gak jelas juntrungannya.
satu bintang itu bonus — buat Caitlin Halderman.";07/01/2019;#Dreadout;n
1082211498477330000;josepsibuea;"APPWAR: Buat yang bekerja di ahensi mungkin agak ngerasa relate dengan film ini. Tapi bagi para pekerja selain ahensi bakal relate juga kok ketika menghadapi tempat kerja gebetan lo ternyata saingan kantor lo sendiri. Menghiburlah ya ~~~~

3/5";07/01/2019;#appwar;p
1082215454360250000;TarizSolis;Gagal memenuhi potensinya, #DreadOut lebih sering bikin ngakak dan menguap bosan ketimbang ketakutan. Ulasan lengkap: http://cinetariz.blogspot.com/2019/01/review-dreadout.html?m=1;07/01/2019;#Dreadout;n
1082216435525380000;josepsibuea;"KELUARGA CEMARA: Yandy Laurens kurang ajar sekali menampar penonton dengan adegan yang bikin tak sadar air mata sudah deras jatuh membasahi pipi. Terima kasih sudah menemukan pemain regenerasi selanjutnya di industri perfilman, Zara dan Widuri aset bangsa!

4,5/5";07/01/2019;#keluargacemara;p
1082250117548100000;irvanmuda;"2. Dreadout.

Jelek. Bagusan hp Linda nya daripada filmnya! Dialog yg gue inget ""Anying..anying..anying..."" Udah gitu aja sepanjang film. Sama sih gue juga pengen bilang gitu ANYING!

Jangan langsung keluar ada 2 credit scene. #DreadOut";07/01/2019;#DreadOut;n
1082988242847180000;Versi_Ku;"2. Master Z : The Ip Man Legacy ( 7.5/10 ).
Aksi2nya keren banget sih disini terutama pas dibillboard 😅, ceritanya juga dibuat lumayan menarik wlau less drama, michelle yeoh goddes lah, tony ja need more screen time. Max zhang top banget! Still fun to watch
#masterz";09/01/2019;#masterz;p
1083213826663700000;josepsibuea;HOW TO TRAIN YOUR DRAGON 3. Memanjakan mata penonton dengan efek 3D ciamik dibalut cerita penutup yang cukup menyentuh. Kalian wajib cobain 4DX 3Dnya karena setelah gue first impression di IMAX 3D pas midnight, 4DX 3D jauuuuuh lebih bagus experiencenya! 3,5/5;10/01/2019;#howtotrainyourdragon3;p
1083570126274740000;shandygasella;"#2 #LagiLagiAteng 
nonton via #OneBelParkXXI
skor ★★☆☆☆
Tidak membawa nostalgia atau referensi signifikan dari film-film Ateng, tanpa karakter bernama Ateng/Iskak pun cerita bakal tetep jalan. Dialognya duh ampun, yang nulis kayaknya di kehidupan nyata jarang ngobrol.";11/01/2019;#LagiLagiAteng;n
1084050760617250000;arulfittron;"11. Perjanjian Dengan Iblis (2019, Ardy Octaviand) ★★½
Bukan film horor yang buruk, #PerjanjianDenganIblis masih bisa menuturkan plot cerita dengan baik di satu jam pertama. Tetapi, saat masuk ke paruh ketiga dan ke momen horornya, barulah sadar kalau filmnya masih berantakan.";12/01/2019;#PerjanjianDenganIblis;n
1084120833038080000;josepsibuea;LAGI LAGI ATENG. Film yang tidak boleh kamu lewatkan untuk melihat akting hebat Augie Fantinus, Julie Estelle, Surya Saputra dan Unique Priscilla. Film komedi dengan sentuhan drama keluarga yang mampu menyentuh hati penonton. 3,5/5;12/01/2019;#lagilagiateng;p
1084121801288860000;josepsibuea;PERJANJIAN DENGAN IBLIS. Sayangi uang anda untuk menonton film ini. Terlalu kotor jika harus terbawa pikiran dari wujud setan rambut nanas. Poster dan lagu tema terlihat menyeramkan, namun materi film 1 jam pertama jauh dari kata menyeramkan, cenderung untuk ditertawakan. NR;12/01/2019;#perjanjiandenganiblis;n
1084367948255420000;sironi__;#ASimpleFavor mengingatkan gw sama Gone Girl, walaupun awalnya film ini seperti kebingungan mau dibawa kemana tapi seperempat akhir dari film sangat menarik karena plot twist yang berkali² dimunculkan sampai ending. Great movie!;13/01/2019;#ASimpleFavor;p
1084465052919280000;josepsibuea;AFTER MET YOU. Film terasa mulai berantakan ketika muncul karakter rival, apalagi diselipkan dengan penyakit. Asli momen itu bikin drop. Bisa dibilang sih ini mencoba seperti Dilan 1990 tapi melupakan chemistry kedua pemain utama. Sayang sekali untuk karya dari Patrick. 1/5;13/01/2019;#aftermeetyou;n
1085763719508810000;Elbert_Reyner;"10. Glass ★★
Dirancang Shyamalan sebagai pamungkas trilogi superhero yang dimulai dari Unbreakable dan Split, #Glass, sayangnya, sangat berantakan baik di eksekusi plot-nya yang bikin garuk2 kepala maupun adegan aksinya yang memalukan, membuat film ini jauh di bawah ekspetasi.";17/01/2019;#Glass;n
1085782805789910000;HildanEfendi10;"Hari ini mulai tayang dibioskop film mata batin 2.
Keren filmnya, lebih serem dari yg pertama, recomended banget buat kalian yg suka film horror. Ada thriller nya juga. Banyak scene ngerinya juga. 9.5/10 buat film ini dri gue.
@HitMakeStudios
 
@nblh_ayu

@Jscmila

#matabatin2";17/01/2019;#matabatin2;p
1085868118872730000;faisalfnd;"Menghadirkan konflik kepentingan politik antar bangsa ditambah perseteruan serta persaingan kekuatan militer, Take Point secara baik menampilkan aksi seru yang berlipat ganda tersebut dan semakin bertambah seru sampai klimaks di akhir.

#TakePoint
#TakePointMovie";17/01/2019;#takepoint;p
1085914098838070000;Dee_Ivana;"Replying to 
@Dee_Ivana
 
@zaraJKT48
 and 5 others
15.#PremanPensiun .3,5/5.Di film ttg lika liku kehidupan preman pensiun ini,setiap karakter mendapat porsi cukup berkat dialog sambung menyambung yg kocak&fresh.Ada bbrp kekurangan pada pengambilan adegan tp tercover oleh ceritanya yg sederhana tapi unik&lucu+ending yg ""berani""";17/01/2019;#PremanPensiun;p
1086251144643370000;DidikWahyudy;"9. #Glass (2019)
Kesalahan terbesar saya tidak mengikuti 2 seri sebelum ini, jadi sedikit keteteran ngikuti plot Glass, proses menuju ending sungguh membosankan, walaupun ternyata endingnya tidak terduga. 2.5/5

*mungkin rating bisa berubah dengan nonton 2 seri sebelum ini 😋";18/01/2019;#glass;n
1086289706646560000;arulfittron;"17. Mata Batin 2 (2019, Rocky Soraya) ★★½ 
#MataBatin2 ternyata tak seprima film sebelumnya. Terlalu banyak diinjeksi jumpscare membuat atmosfer horornya tak efektif. Problem utamanya adalah pengarahannya yang lemah membuat beberapa adegan terasa canggung dan preachy.";18/01/2019;#MataBatin2;n
1086602925445570000;rifakyv;Sekalian review mata batin 2 mantul sekali ini setannya serem bgt cuy bowo aja ampe merinding wkwkwk tp dia emg cupu sih soal film horror wkwk nonton aja mata di sipit2in😂😂😂 #matabatin2 8/10;19/01/2019;#matabatin2;p
