id;user;rawTweet;tweetDate;title;ulasan
1080299451774680000;Elbert_Reyner;"1. Master Z: The Ip Man Legacy ★★½
Sebuah spin-off tidak penting dalam franchise Ip Man milik Donnie Yen yang menyia-nyiakan jajaran cast high profile-nya dengan plot membosankan dan directing yang lemah. Adegan aksinya masih enjoyable, asal kalian tidak berekspetasi lebih.";02/01/2019;#MasterZTheIpManLegacy;y
1080489677604340000;Elbert_Reyner;"2. Unstoppable ★★★
Kharisma dan hantaman maut Ma Dong Seok menghajar seluruh anggota sindikat perdagangan wanita yang menculik istrinya berhasil membuat segala kekurangan dan keklisean dalam thriller penculikan ala Taken ini termaafkan. Seru dan kocak dari awal sampai akhir!";02/01/2019;#Unstopable;y
1080744926420200000;arulfittron;1. #DreadoutMovie (2019, Kimo Stamboel) : Punya konsep dunia yang cukup menarik tetapi masih bermasalah di naskah dan pengarahannya yang kurang berani digali lagi. Beruntung, film ini masih punya cukup amunisi untuk disajikan karena sisi teknisnya masih diperhatikan betul. ★★★;03/01/2019;#Dreadout;y
1080857460821250000;Elbert_Reyner;"3. Roma ★★★★
Roma memang tak bisa dicerna secara instan, tapi bersabarlah, nikmati prosesnya. Biarkan Alfonso Cuarón bercerita dengan keanggunan visualnya yang menghipnotis sampai esensi, emosi dan jiwa dari kisah perempuan2 kuat menghadapi cinta, tragedi dan duka ini meresap";03/01/2019;#Roma;y
1081201091042110000;Elbert_Reyner;"4. Dreadout ★★
Set design keren tak serta-merta membuat kutukan film adaptasi video game tak berlaku di sini. #Dreadout adalah film horror tanpa tensi, penuh ketololan yg bikin sakit kepala dan dialog2 gak jelas yg sepertinya baru dikarang setelah si sutradara berteriak action!";04/01/2019;#Dreadout;y
1081611206144620000;arulfittron;"3. #KeluargaCemara (2019, 
@yndLaurens
)
Kedua kalinya, masih jatuh cinta dengan naskah adaptasinya dan masih jatuh juga air mata hanya saja makin deras rasanya.

Review Selengkapnya di:
http://arulfittron.blogspot.com/2019/01/keluarga-cemara-2019-review-wahana.html?m=0";06/01/2019;#KeluargaCemara;y
1081788390205350000;selliyamanto;"1. Nonton 
@FILM_Indonesia
 pertama di tahun 2019 #KeluargaCemara bermakna dikemas dengan baik, penuh rasa, emosi diaduk-aduk, acting 
@ringgoagus
 
@nirina_zubir
 bagus banget dan semua pemain bersinergi positif. 
@ginaSnoer
 membuat script yang luar biasa. Hangat, Indah 4,5/5";06/01/2019;#KeluargaCemara;y
1081890422849380000;selliyamanto;2. #DreadOut kurang asyik untuk dinikmati, secara cerita masih bisa berkembang lebih dalam lagi, scoringnya cukup memekakan telinga, eksekusi lemah, pertengahan ke belakang justru terasa monoton  2/5;06/01/2019;#Dreadout;y
1082302589390050000;Elbert_Reyner;"6. Keluarga Cemara ★★★★
Di debut penyutradaraan film panjangnya, Yandy Laurens berhasil mengangkat sinetron legendaris #KeluargaCemara ke sebuah film drama yg tak hanya emosional dan berkelas, tapi jg mengajarkan makna harta yg paling berharga bukanlah uang melainkan keluarga";07/01/2019;#KeluargaCemara;y
1083040698893360000;Elbert_Reyner;"7. How To Train Your Dragon 3 ★★★
Tak lagi semenarik dua film sebelumnya, HTTYD 3 mengalir seperti kebanyakan “film terakhir” di franchise besar yang sudah kehilangan excitements dan kisah seru untuk diceritakan lagi. Ending-nya yang indah dan emosional sangat banyak menolong.";09/01/2019;#HowToTrainYourDragon3;y
1083760731370050000;arulfittron;"10. Lagi-Lagi Ateng (2019, Monty Tiwa) ★★★ 
Komedinya mungkin butuh diinjeksi energi, meski begitu #LagiLagiAteng masih ada sentuhan drama keluarga yang cukup meskipun seharusnya masih dimaksimalkan lagi agar lebih bertenaga. Augie Fantinus memerankan sosok Ateng dengan baik!";11/01/2019;#LagiLagiAteng;y
1083896426118040000;Elbert_Reyner;"8. Escape Room ★★★
Dibangun dengan premise menarik tentang lima orang asing terperangkap di permainan maut, #EscapeRoom sayangnya tidak pernah seinventif yang kita harapkan, baik di segi plot maupun puzzle, dan harus diakhiri dengan twist membosankan. Masih oke buat hiburan.";12/01/2019;#EscapeRoom;y
1084050760617250000;arulfittron;"11. Perjanjian Dengan Iblis (2019, Ardy Octaviand) ★★½
Bukan film horor yang buruk, #PerjanjianDenganIblis masih bisa menuturkan plot cerita dengan baik di satu jam pertama. Tetapi, saat masuk ke paruh ketiga dan ke momen horornya, barulah sadar kalau filmnya masih berantakan.";12/01/2019;#PerjanjianDenganIblis;y
1084435090103380000;selliyamanto;4. #MasterZTheIpManLegacy menyuguhkan kenikmatan baku hantam dari awal hingga akhir, sayang eksekusi semakin ke belakang justru melemah terutama ending yang terkesan terburu-buru, dan editingnya juga kurang mulus 3/5;13/01/2019;#MasterZTheIpManLegacy;y
1084436101106820000;selliyamanto;5. #LagiLagiAteng judul kurang vitamin namun tidak dengan isi dari keseluruhan film, sempet underestimate, tapi ternyata menyuguhkan kekocakan yang buat sakit perut, serta emosional. Sampai nangis berulang kali. Klimaksnya dapet banget. Luar biasa 4/5;13/01/2019;#LagiLagiAteng;y
1084436912675280000;selliyamanto;6. #HowToTrainYourDragon #thehiddenworld film perpisahan yang penuh kehangatan dan emosional, digarap dengan baik. Visualnya kece dipadu dengan scoring yang asyik membuat film ini begitu nikmat. Manisssss 4/5;13/01/2019;#HowToTrainYourDragon3;y
1084465015254480000;Elbert_Reyner;"9. Swing Kids ★★★½
#SwingKids mengambil sudut pandang berbeda tentang perang antara Korea Utara dan Korea Selatan dari para tahanan perang yang menemukan hidup dan mimpi baru dari tap dance. Semua berlangsung seru, fun dan uplifting, sampai ending-nya menghancurkan semua itu.";13/01/2019;#SwingKids;y
1085763719508810000;Elbert_Reyner;"10. Glass ★★
Dirancang Shyamalan sebagai pamungkas trilogi superhero yang dimulai dari Unbreakable dan Split, #Glass, sayangnya, sangat berantakan baik di eksekusi plot-nya yang bikin garuk2 kepala maupun adegan aksinya yang memalukan, membuat film ini jauh di bawah ekspetasi.";17/01/2019;#Glass;y
1085770725112180000;arulfittron;"16. Mata Batin (2017, Rocky Soraya) ★★★½
Kesederhanaan dalam kisahnya inilah yang membuat #MataBatin ternyata menjadi film horor milik Rocky Soraya yang paling bisa dinikmati. Tak ada twist yang berlapis, tetapi terornya cukup terasa begitu pula dengan performa pemainnya.";17/01/2019;#MataBatin;y
1086154061500470000;arulfittron;"18. Preman Pensiun (2019, Aris Nugraha) ★★½
Punya sosok yang menarik, sayangnya #PremanPensiun terlalu tumpang tindih. Film ini terasa sbg companion dari serial televisinya. Editingnya punya style, tetapi menganggu plotnya jadi tak utuh. Tak cocok bagi yang tak tahu serialnya.";18/01/2019;#PremanPensiun;y
1086289706646560000;arulfittron;"17. Mata Batin 2 (2019, Rocky Soraya) ★★½ 
#MataBatin2 ternyata tak seprima film sebelumnya. Terlalu banyak diinjeksi jumpscare membuat atmosfer horornya tak efektif. Problem utamanya adalah pengarahannya yang lemah membuat beberapa adegan terasa canggung dan preachy.";18/01/2019;#MataBatin2;y
1086957581711560000;selliyamanto;9. #matabatin2 tidak mampu menyuguhkan tontonan yang mengasyikan apalagi menyeramkan, jump scared nya banyak yang tidak tepat sasaran, dan terlalu dipaksakan, penceritaannya pun tidak mulus, mungkin harus mencoba formula baru 2/5;20/01/2019;#Matabatin2;y
1086958416818400000;selliyamanto;10. #GlassMovie nyawa dari film ini ada pada diri James McAvoy yang berperan dengan luar biasa bagusnya dengan banyak karakter, penceritaannya tersendat-sendat, di bagian tengah sempat justru membosankan. McAvoy membuat film ini tidak terpuruk lebih dalam lagi 3/5;20/01/2019;#Glass;y
1086959509350690000;selliyamanto;11. #premanpensiun gue gak ngikutin sinetronnya, tapi saya bisa menikmati film ini dari awal hingga akhir, kocak, emosional juga. Dan kang mus a.k.a Epy Kusnandar bermain baik sekali, endingnya buat nangis sesegukan, baguussss 4/5;20/01/2019;#PremanPensiun;y
1087754942457100000;Elbert_Reyner;"12. Take Point ★★★½
Bayangkan anda lumpuh & terperangkap di bunker dgn orang no 1 Korut sementara tim anda dibantai, #TakePoint boleh pny plot tak masuk akal, tapi dari set-up itulah si sutradara dpt memaksimalkan adegan2 aksi super serunya dgn tensi yg terjaga sepanjang film.";22/01/2019;#TakePoint;y
1088099680993460000;Elbert_Reyner;"13. The Kid Who Would Be King - ★★★
Seberapa kamu bisa menikmati #KidWhoWouldBeKing sangat bergantung pada toleransimu terhadap segala keanehan & kekonyolan yg ada di adaptasi lepas Arthurian Legend dgn setting masa sekarang ini. Yg pasti, anak2 akan sangat menikmati film ini.";23/01/2019;#KidWhoWouldBeKing;y
1088612589020500000;arulfittron;"20. Matt & Mou (2019, Monty Tiwa) ★★★½ 
@MattNMou
 punya kisah amunisi kisah cinta yang lucu dan menggemaskan. Pengarahan 
@montytiwa
 dan naskah 
@alimsudio
 tahu nyawa filmnya dan tak membuat cerita gelapnya terlalu berlarut. Performa 
@PrillyBie
 dan Maxime ini menyenangkan sekali";25/01/2019;#Matt&Mou;y
1088614376779570000;arulfittron;"21. Orang Kaya Baru The Movie (2019, Ody C. Harahap) ★★★★
#OrangKayaBaru adalah proyeksi mimpi untuk lari dari dunia yang penat dalam bentuk film yang sangat menyenangkan, humornya satir, dan dramanya hangat. Performa pemainnya dinamis apalagi performa Cut Mini yg keren abis!";25/01/2019;#OrangKayaBaru;y
1088822743561230000;Elbert_Reyner;"14. Orang Kaya Baru - ★★★½
Walau tak segemerlap yg dibayangkan dan meninggalkan banyak detail serta logika, duet Joko Anwar-Ody C.Harahap paling tidak masih berhasil menyajikan drama komedi tentang keluarga miskin yg kaya mendadak yg ampuh mengocok perut dan penuh pesan moral.";25/01/2019;#OrangKayaBaru;y
1089183376379040000;Elbert_Reyner;"15. Instant Family ★★★★½
Berdasarkan kisah nyata sutradara Sean Anders, #InstantFamily memperdalam pemahaman kita soal kehidupan keluarga adopsi, baik dari POV ortu maupun anak2, yg tersaji begitu intim, hangat dan luar biasa menyentuh. Mustahil untuk tidak menyukai film ini!";26/01/2019;#InstantFamily;y
1089457062650600000;selliyamanto;12. #OrangKayaBaru walau menuju ending terasa kehilangan sentuhan, tapi film ini tau bagaimana memanjakan penonton dengan kesenangan & kekocakan yang dipertontonkan. Dan pesan moral pun sederhana namun dalam mampu disampaikan dengan baik, cut mini dan fatih unru bermain apik 3/5;27/01/2019;#OrangKayaBaru;y
1089457979416390000;selliyamanto;13. #MattNMou kisah cinta dua sahabat ini mampu membuat penonton gemes dan baper, ya walau sepertinya cerita masih minim konflik, tapi memang nyawa film ini ada di chemistry kedua pelakon utama dan setnya yang manis. 3/5;27/01/2019;#Matt&Mou;y
1089574125046180000;Elbert_Reyner;"16. The Upside ★★★★
#TheUpside memang remake yg tak perlu dibuat, tapi tak adil apabila langsung menghakiminya sebagai film buruk. Plot-nya masih sama, namun chemistry bagus Hart-Cranston membuat menyaksikan “kembali” kisah ini tetap menyenangkan, emosional & terasa berbeda";28/01/2019;#TheUpside;y
1090636866372520000;Elbert_Reyner;"17. The Mule ★★★★
Drama thriller tentang seorang kakek yg ingin menebus penyesalan hidupnya dgn menjadi pengantar narkoba. Disajikan & diperankan Clint Eastwood dgn “santai” namun mengesankan, #TheMule kembali membuktikan bahwa ia adalah legenda Hollywood yg tak tergantikan";30/01/2019;#TheMule;y
1091005261760810000;Elbert_Reyner;"18. Green Book ★★★★
Mengangkat tema rasialisme yang dituturkan dengan konsep film road trip, #GreenBook tak hanya menyenangkan untuk ditonton berkat chemistry solid antara Viggo Mortensen dan Mahershala Ali, namun juga mendidik penontonnya dengan pesan kemanusiaan yang kuat.";31/01/2019;#GreenBook;y
1091195883905940000;arulfittron;"26. Laundry Show (2019, Rizki Balki) ★★★
#LaundryShow terlihat sebagai film komedi, tetapi film ini membahas lebih dari itu. Terlihat benar bahwa naskahnya ditulis dgn hati-hati, pengarahannya sedikit melambat di tengah film. Tetapi, set produksi dan sinematografinya cantik!";01/02/2019;#LaundryShow;y
1092272144925380000;selliyamanto;15. #PSPGayaMahasiswa kurang bisa dinikmati, terutama jokes2nya yang kurang ngena, tapi masih bisa tertawa di beberapa bagian, sayang penuturan cerita kurang mulus, tapi cukup asyik di musik dan lagu-lagu yang didendangkan, pesannya pun baik 2/5;04/02/2019;#PSPGayaMahasiswa;y
1092273312464420000;selliyamanto;16. #TerlaluTampan menonton ini tanpa ekpektasi apapun dan terkejut ternyata begitu menghibur, senang ada sedikit fantasy juga didalamnya, disamping ceritanya yang punya premis menarik dan plotnya yang kuat dan penuh daya kejut. Akting para pemainnya ciamik. Hangat, kocak 4,5/5;04/02/2019;#TerlaluTampan;y
